"slug","title_en","title_ar","template_code","category_code","specialty","public_path","source_file","patient_copy","mapping_status"
"consent-form-q-switched-and-pico-laser-informed-consent-form","Consent Form -Q Switched and Pico Laser Informed Consent Form","","imc-approved-consent-form-q-switched-and-pico-laser-informed-consent-form","","","/approved-consent-forms/consent-form-q-switched-and-pico-laser-informed-consent-form.pdf","Consent Form -Q Switched and Pico Laser Informed Consent Form.pdf","False","NEEDS_REVIEW"
"consent-form-regenera-activa-consent-form","Consent Form -Regenera Activa Consent Form","","imc-approved-consent-form-regenera-activa-consent-form","","","/approved-consent-forms/consent-form-regenera-activa-consent-form.pdf","Consent Form -Regenera Activa Consent Form.pdf","False","NEEDS_REVIEW"
"consent-form-skin-lesion-treatment","Consent Form - Skin Lesion Treatment","","imc-approved-consent-form-skin-lesion-treatment","","","/approved-consent-forms/consent-form-skin-lesion-treatment.pdf","Consent Form - Skin Lesion Treatment.pdf","False","NEEDS_REVIEW"
"consent-for-tympanoplasty-with-or-without-mastoidectomy","Consent for Tympanoplasty with or without mastoidectomy","","imc-approved-consent-for-tympanoplasty-with-or-without-mastoidectomy","","","/approved-consent-forms/consent-for-tympanoplasty-with-or-without-mastoidectomy.pdf","Consent for Tympanoplasty with or without mastoidectomy (1).pdf","False","NEEDS_REVIEW"
"cosmetic-surgery","Cosmetic Surgery","","imc-approved-cosmetic-surgery","","","/approved-consent-forms/cosmetic-surgery.pdf","Cosmetic Surgery.pdf","False","NEEDS_REVIEW"
"cosmetic-surgery","Cosmetic Surgery","","imc-approved-cosmetic-surgery","","","/approved-consent-forms-patient-copy/cosmetic-surgery-patient-copy.pdf","Cosmetic Surgery - Patient Copy.pdf","True","NEEDS_REVIEW"
"cranial-surgery","Cranial Surgery","","imc-approved-cranial-surgery","","","/approved-consent-forms/cranial-surgery.pdf","Cranial Surgery.pdf","False","NEEDS_REVIEW"
"critical-care-consent","Critical Care Consent","","imc-approved-critical-care-consent","","","/approved-consent-forms/critical-care-consent.pdf","Critical Care Consent.pdf","False","NEEDS_REVIEW"
"ct-cardiac","CT Cardiac","","imc-approved-ct-cardiac","","","/approved-consent-forms-patient-copy/ct-cardiac-patient-copy.pdf","CT Cardiac - Patient Copy.pdf","True","NEEDS_REVIEW"
"ct-colonoscopy","CT Colonoscopy","","imc-approved-ct-colonoscopy","","","/approved-consent-forms-patient-copy/ct-colonoscopy-patient-copy.pdf","CT Colonoscopy - Patient Copy.pdf","True","NEEDS_REVIEW"
